cutoffs,nll_mode,nll_mode_fixed,n,min_n,num_cutoffs,k_varying,k_fixed,aic_varying,aic_fixed,bic_varying,bic_fixed
"(3, 7)",95731.99905098355,96004.51625254253,"[6303, 8694, 19112]",6303,2,9,6,95740.99905098355,96010.51625254253,95778.96697549486,96035.82820221673
"(3, 8)",95725.19433318375,95995.48067235536,"[6303, 10716, 17090]",6303,2,9,6,95734.19433318375,96001.48067235536,95772.16225769506,96026.79262202956
"(3, 9)",95729.71378941479,96000.20466935622,"[6303, 12668, 15138]",6303,2,9,6,95738.71378941479,96006.20466935622,95776.6817139261,96031.51661903042
"(3, 10)",95733.15859676566,96006.14043750748,"[6303, 14531, 13275]",6303,2,9,6,95742.15859676566,96012.14043750748,95780.12652127696,96037.45238718168
"(3, 11)",95731.82975521509,96005.06779715745,"[6303, 16314, 11492]",6303,2,9,6,95740.82975521509,96011.06779715745,95778.7976797264,96036.37974683165
"(3, 12)",95743.19807778782,96018.03601967855,"[6303, 17994, 9812]",6303,2,9,6,95752.19807778782,96024.03601967855,95790.16600229913,96049.34796935275
"(3, 13)",95755.94035695054,96031.02720614233,"[6303, 19569, 8237]",6303,2,9,6,95764.94035695054,96037.02720614233,95802.90828146185,96062.33915581653
"(3, 14)",95773.43930696683,96050.38346224635,"[6303, 21036, 6770]",6303,2,9,6,95782.43930696683,96056.38346224635,95820.40723147814,96081.69541192055
"(3, 15)",95787.89248855377,96065.03992564444,"[6303, 22381, 5425]",5425,2,9,6,95796.89248855377,96071.03992564444,95834.86041306508,96096.35187531864
"(3, 16)",95787.98678665404,96068.4999708859,"[6303, 23630, 4176]",4176,2,9,6,95796.98678665404,96074.4999708859,95834.95471116535,96099.8119205601
"(3, 17)",95801.17118589238,96080.02235122392,"[6303, 24784, 3022]",3022,2,9,6,95810.17118589238,96086.02235122392,95848.13911040369,96111.33430089812
"(3, 18)",95816.34256095033,96093.48511912044,"[6303, 25860, 1946]",1946,2,9,6,95825.34256095033,96099.48511912044,95863.31048546164,96124.79706879464
"(3, 19)",95819.72568688527,96098.75557367981,"[6303, 26866, 940]",940,2,9,6,95828.72568688527,96104.75557367981,95866.69361139658,96130.06752335401
"(4, 5)",95754.47068096852,96049.53810920371,"[8511, 2221, 23377]",2221,2,9,6,95763.47068096852,96055.53810920371,95801.43860547982,96080.85005887791
"(4, 6)",95736.04393785636,96021.28655325198,"[8511, 4382, 21216]",4382,2,9,6,95745.04393785636,96027.28655325198,95783.01186236767,96052.59850292618
"(4, 7)",95727.85030590463,96013.21896423298,"[8511, 6486, 19112]",6486,2,9,6,95736.85030590463,96019.21896423298,95774.81823041594,96044.53091390718
"(4, 8)",95717.89586212093,96003.90104648544,"[8511, 8508, 17090]",8508,2,9,6,95726.89586212093,96009.90104648544,95764.86378663224,96035.21299615964
"(4, 9)",95720.07583173619,96005.97620067577,"[8511, 10460, 15138]",8511,2,9,6,95729.07583173619,96011.97620067577,95767.0437562475,96037.28815034997
"(4, 10)",95721.13106021678,96009.12251015808,"[8511, 12323, 13275]",8511,2,9,6,95730.13106021678,96015.12251015808,95768.09898472809,96040.43445983228
"(4, 11)",95718.04912706275,96005.99730584741,"[8511, 14106, 11492]",8511,2,9,6,95727.04912706275,96011.99730584741,95765.01705157406,96037.30925552161
"(4, 12)",95726.643547691,96015.85828704186,"[8511, 15786, 9812]",8511,2,9,6,95735.643547691,96021.85828704186,95773.6114722023,96047.17023671606
"(4, 13)",95736.90169232158,96025.74624171999,"[8511, 17361, 8237]",8237,2,9,6,95745.90169232158,96031.74624171999,95783.86961683289,96057.05819139419
"(4, 14)",95751.1984265152,96041.72653927015,"[8511, 18828, 6770]",6770,2,9,6,95760.1984265152,96047.72653927015,95798.1663510265,96073.03848894435
"(4, 15)",95763.11484686799,96053.4402505804,"[8511, 20173, 5425]",5425,2,9,6,95772.11484686799,96059.4402505804,95810.0827713793,96084.7522002546
"(4, 16)",95761.78080786424,96055.41542752212,"[8511, 21422, 4176]",4176,2,9,6,95770.78080786424,96061.41542752212,95808.74873237555,96086.72737719632
"(4, 17)",95772.97895788489,96064.44198830222,"[8511, 22576, 3022]",3022,2,9,6,95781.97895788489,96070.44198830222,95819.9468823962,96095.75393797642
"(4, 18)",95785.81514150761,96075.47840405277,"[8511, 23652, 1946]",1946,2,9,6,95794.81514150761,96081.47840405277,95832.78306601892,96106.79035372697
"(4, 19)",95787.87826145429,96079.23847475922,"[8511, 24658, 940]",940,2,9,6,95796.87826145429,96085.23847475922,95834.8461859656,96110.55042443342
"(5, 6)",95729.0868341634,96026.56138986265,"[10732, 2161, 21216]",2161,2,9,6,95738.0868341634,96032.56138986265,95776.05475867471,96057.87333953685
"(5, 7)",95718.28807669887,96015.46813611049,"[10732, 4265, 19112]",4265,2,9,6,95727.28807669887,96021.46813611049,95765.25600121017,96046.78008578469
"(5, 8)",95706.0661319974,96004.00398985387,"[10732, 6287, 17090]",6287,2,9,6,95715.0661319974,96010.00398985387,95753.03405650871,96035.31593952807
"(5, 9)",95705.77012845318,96002.36945609022,"[10732, 8239, 15138]",8239,2,9,6,95714.77012845318,96008.36945609022,95752.73805296449,96033.68140576442
"(5, 10)",95703.48300844515,96002.2482734422,"[10732, 10102, 13275]",10102,2,9,6,95712.48300844515,96008.2482734422,95750.45093295646,96033.5602231164
"(5, 11)",95699.03046751651,95996.75564415648,"[10732, 11885, 11492]",10732,2,9,6,95708.03046751651,96002.75564415648,95745.99839202782,96028.06759383068
"(5, 12)",95704.18882279686,96003.00516249257,"[10732, 13565, 9812]",9812,2,9,6,95713.18882279686,96009.00516249257,95751.15674730817,96034.31711216677
"(5, 13)",95711.75520476155,96009.49684675875,"[10732, 15140, 8237]",8237,2,9,6,95720.75520476155,96015.49684675875,95758.72312927285,96040.80879643295
"(5, 14)",95722.41236444905,96021.46068275784,"[10732, 16607, 6770]",6770,2,9,6,95731.41236444905,96027.46068275784,95769.38028896035,96052.77263243204
"(5, 15)",95731.78520125426,96030.07675983015,"[10732, 17952, 5425]",5425,2,9,6,95740.78520125426,96036.07675983015,95778.75312576556,96061.38870950435
"(5, 16)",95729.25878979455,96030.59303518971,"[10732, 19201, 4176]",4176,2,9,6,95738.25878979455,96036.59303518971,95776.22671430586,96061.90498486391
"(5, 17)",95738.15686943705,96037.23206996339,"[10732, 20355, 3022]",3022,2,9,6,95747.15686943705,96043.23206996339,95785.12479394836,96068.54401963759
"(5, 18)",95748.53052753206,96045.59146309482,"[10732, 21431, 1946]",1946,2,9,6,95757.53052753206,96051.59146309482,95795.49845204336,96076.90341276902
"(5, 19)",95749.26545802438,96047.82801227724,"[10732, 22437, 940]",940,2,9,6,95758.26545802438,96053.82801227724,95796.23338253569,96079.13996195144
"(6, 7)",95728.53510400352,96011.73323911226,"[12893, 2104, 19112]",2104,2,9,6,95737.53510400352,96017.73323911226,95775.50302851482,96043.04518878646
"(6, 8)",95715.45926595345,95998.87132737541,"[12893, 4126, 17090]",4126,2,9,6,95724.45926595345,96004.87132737541,95762.42719046476,96030.18327704961
"(6, 9)",95712.60845522238,95994.88664970045,"[12893, 6078, 15138]",6078,2,9,6,95721.60845522238,96000.88664970045,95759.57637973368,96026.19859937465
"(6, 10)",95708.32918481954,95992.53189915208,"[12893, 7941, 13275]",7941,2,9,6,95717.32918481954,95998.53189915208,95755.29710933084,96023.84384882628
"(6, 11)",95702.41104764397,95985.79221945145,"[12893, 9724, 11492]",9724,2,9,6,95711.41104764397,95991.79221945145,95749.37897215527,96017.10416912565
"(6, 12)",95705.08468986227,95989.35133895236,"[12893, 11404, 9812]",9812,2,9,6,95714.08468986227,95995.35133895236,95752.05261437358,96020.66328862656
"(6, 13)",95709.95353300852,95993.43558945644,"[12893, 12979, 8237]",8237,2,9,6,95718.95353300852,95999.43558945644,95756.92145751983,96024.74753913064
"(6, 14)",95717.74130154484,96002.25003474538,"[12893, 14446, 6770]",6770,2,9,6,95726.74130154484,96008.25003474538,95764.70922605615,96033.56198441958
"(6, 15)",95724.41236198338,96008.47302022408,"[12893, 15791, 5425]",5425,2,9,6,95733.41236198338,96014.47302022408,95771.38028649469,96039.78496989828
"(6, 16)",95720.87867182886,96007.99581646585,"[12893, 17040, 4176]",4176,2,9,6,95729.87867182886,96013.99581646585,95767.84659634017,96039.30776614005
"(6, 17)",95727.66942076385,96012.68123188202,"[12893, 18194, 3022]",3022,2,9,6,95736.66942076385,96018.68123188202,95774.63734527516,96043.99318155622
"(6, 18)",95735.78596904397,96018.87699346647,"[12893, 19270, 1946]",1946,2,9,6,95744.78596904397,96024.87699346647,95782.75389355527,96050.18894314067
"(6, 19)",95735.60839638911,96019.96911909126,"[12893, 20276, 940]",940,2,9,6,95744.60839638911,96025.96911909126,95782.57632090042,96051.28106876546
"(7, 8)",95723.00444289783,95999.63689829252,"[14997, 2022, 17090]",2022,2,9,6,95732.00444289783,96005.63689829252,95769.97236740914,96030.94884796672
"(7, 9)",95719.19595551997,95995.01475269147,"[14997, 3974, 15138]",3974,2,9,6,95728.19595551997,96001.01475269147,95766.16388003128,96026.32670236567
"(7, 10)",95714.3543829934,95991.69336421,"[14997, 5837, 13275]",5837,2,9,6,95723.3543829934,95997.69336421,95761.32230750471,96023.0053138842
"(7, 11)",95707.75660523142,95984.61680900335,"[14997, 7620, 11492]",7620,2,9,6,95716.75660523142,95990.61680900335,95754.72452974273,96015.92875867755
"(7, 12)",95709.31092731893,95986.70743162786,"[14997, 9300, 9812]",9300,2,9,6,95718.31092731893,95992.70743162786,95756.27885183024,96018.01938130206
"(7, 13)",95712.59179187016,95989.52815569744,"[14997, 10875, 8237]",8237,2,9,6,95721.59179187016,95995.52815569744,95759.55971638147,96020.84010537164
"(7, 14)",95718.69876505343,95996.45094286115,"[14997, 12342, 6770]",6770,2,9,6,95727.69876505343,96002.45094286115,95765.66668956474,96027.76289253535
"(7, 15)",95723.75536937383,96001.12598351741,"[14997, 13687, 5425]",5425,2,9,6,95732.75536937383,96007.12598351741,95770.72329388514,96032.43793319161
"(7, 16)",95719.74506967107,96000.1647724693,"[14997, 14936, 4176]",4176,2,9,6,95728.74506967107,96006.1647724693,95766.71299418238,96031.4767221435
"(7, 17)",95725.20044526123,96003.63397655901,"[14997, 16090, 3022]",3022,2,9,6,95734.20044526123,96009.63397655901,95772.16836977254,96034.94592623321
"(7, 18)",95732.02271057571,96008.26569966508,"[14997, 17166, 1946]",1946,2,9,6,95741.02271057571,96014.26569966508,95778.99063508702,96039.57764933928
"(7, 19)",95731.1912510267,96008.84740707657,"[14997, 18172, 940]",940,2,9,6,95740.1912510267,96014.84740707657,95778.159175538,96040.15935675077
"(8, 9)",95722.8964159152,95994.46595172507,"[17019, 1952, 15138]",1952,2,9,6,95731.8964159152,96000.46595172507,95769.8643404265,96025.77790139927
"(8, 10)",95717.5079495073,95990.20099445352,"[17019, 3815, 13275]",3815,2,9,6,95726.5079495073,95996.20099445352,95764.47587401861,96021.51294412772
"(8, 11)",95710.57178567817,95982.90453919047,"[17019, 5598, 11492]",5598,2,9,6,95719.57178567817,95988.90453919047,95757.53971018948,96014.21648886467
"(8, 12)",95710.66000126547,95983.67798887895,"[17019, 7278, 9812]",7278,2,9,6,95719.66000126547,95989.67798887895,95757.62792577677,96014.98993855315
"(8, 13)",95712.57421860244,95984.9766065174,"[17019, 8853, 8237]",8237,2,9,6,95721.57421860244,95990.9766065174,95759.54214311375,96016.2885561916
"(8, 14)",95716.78777394722,95989.97695360328,"[17019, 10320, 6770]",6770,2,9,6,95725.78777394722,95995.97695360328,95763.75569845852,96021.28890327748
"(8, 15)",95720.2867657497,95993.11814546923,"[17019, 11665, 5425]",5425,2,9,6,95729.2867657497,95999.11814546923,95767.254690261,96024.43009514343
"(8, 16)",95715.99458817685,95991.85283389711,"[17019, 12914, 4176]",4176,2,9,6,95724.99458817685,95997.85283389711,95762.96251268816,96023.16478357131
"(8, 17)",95720.23574407649,95994.08544906517,"[17019, 14068, 3022]",3022,2,9,6,95729.23574407649,96000.08544906517,95767.2036685878,96025.39739873937
"(8, 18)",95725.53448269963,95997.41210927752,"[17019, 15144, 1946]",1946,2,9,6,95734.53448269963,96003.41210927752,95772.50240721094,96028.72405895172
"(8, 19)",95724.24493750931,95997.49631963151,"[17019, 16150, 940]",940,2,9,6,95733.24493750931,96003.49631963151,95771.21286202062,96028.80826930571
"(9, 10)",95724.17642518986,95997.82635935847,"[18971, 1863, 13275]",1863,2,9,6,95733.17642518986,96003.82635935847,95771.14434970116,96029.13830903267
"(9, 11)",95718.2212527157,95990.62262869233,"[18971, 3646, 11492]",3646,2,9,6,95727.2212527157,95996.62262869233,95765.189177227,96021.93457836653
"(9, 12)",95717.78970903129,95990.86841522626,"[18971, 5326, 9812]",5326,2,9,6,95726.78970903129,95996.86841522626,95764.7576335426,96022.18036490046
"(9, 13)",95719.24082791692,95991.58401908481,"[18971, 6901, 8237]",6901,2,9,6,95728.24082791692,95997.58401908481,95766.20875242823,96022.89596875901
"(9, 14)",95722.41160834052,95995.48671965601,"[18971, 8368, 6770]",6770,2,9,6,95731.41160834052,96001.48671965601,95769.37953285183,96026.79866933021
"(9, 15)",95725.1490464409,95997.81632925334,"[18971, 9713, 5425]",5425,2,9,6,95734.1490464409,96003.81632925334,95772.11697095221,96029.12827892754
"(9, 16)",95720.87322557153,95996.4833497915,"[18971, 10962, 4176]",4176,2,9,6,95729.87322557153,96002.4833497915,95767.84115008284,96027.7952994657
"(9, 17)",95724.39637082792,95998.07221934135,"[18971, 12116, 3022]",3022,2,9,6,95733.39637082792,96004.07221934135,95771.36429533923,96029.38416901555
"(9, 18)",95728.85214771809,96000.5211560005,"[18971, 13192, 1946]",1946,2,9,6,95737.85214771809,96006.5211560005,95775.8200722294,96031.8331056747
"(9, 19)",95727.35031615991,96000.35670464026,"[18971, 14198, 940]",940,2,9,6,95736.35031615991,96006.35670464026,95774.31824067121,96031.66865431446
"(10, 11)",95726.11205571123,95999.42908157749,"[20834, 1783, 11492]",1783,2,9,6,95735.11205571123,96005.42908157749,95773.07998022254,96030.74103125169
