source,stage,value
empirical,years_1_4,-0.4491287176792564
empirical,years_1_4,-0.4190283934734307
empirical,years_1_4,-7.019512313149319
empirical,years_1_4,-3.536327234164977
empirical,years_1_4,-0.0600749652493921
empirical,years_1_4,7.722653942655935
empirical,years_1_4,-0.3229827208330871
empirical,years_1_4,-1.3544708600432689
empirical,years_1_4,-0.0396539536775308
empirical,years_1_4,-0.0378003420848835
empirical,years_1_4,1.121627065974618
empirical,years_1_4,-0.1531086627326185
empirical,years_1_4,-0.1453054135598854
empirical,years_1_4,-4.20778878591725
empirical,years_1_4,9.189866949514972
empirical,years_1_4,6.964546172008789
empirical,years_1_4,-1.6326490720138498
empirical,years_1_4,-3.599896666989267
empirical,years_1_4,-0.1201499304987843
empirical,years_1_4,10.777613662685576
empirical,years_1_4,-9.496879805669142
empirical,years_1_4,-0.1297143470836053
empirical,years_1_4,-0.1205675228908722
empirical,years_1_4,2.2996772715982257
empirical,years_1_4,-0.2095141967367171
empirical,years_1_4,-6.00482299632483
empirical,years_1_4,1.6608556002322366
empirical,years_1_4,5.007098321726517
empirical,years_1_4,-5.399845000483901
empirical,years_1_4,-3.811036551090419
empirical,years_1_4,3.40668079401508
empirical,years_1_4,12.7386376992689
empirical,years_1_4,-10.01441773027008
empirical,years_1_4,5.954440029474156
empirical,years_1_4,1.1958502952713488
empirical,years_1_4,2.5145816968250614
empirical,years_1_4,0.9885012038978384
empirical,years_1_4,-0.2537968142322473
empirical,years_1_4,-4.04208312582216
empirical,years_1_4,3.600009730581166
empirical,years_1_4,6.620032651464074
empirical,years_1_4,4.575658505274875
empirical,years_1_4,-0.279778565220468
empirical,years_1_4,-4.295879940054407
empirical,years_1_4,3.811036551090419
empirical,years_1_4,2.51509480624512
empirical,years_1_4,2.2831065846561085
empirical,years_1_4,6.899031814794677
empirical,years_1_4,-7.550149648159193
empirical,years_1_4,-0.1705092851636829
empirical,years_1_4,-1.6635589811531295
empirical,years_1_4,8.604115957132528
empirical,years_1_4,1.0151151591460508
empirical,years_1_4,-0.1517375092919488
empirical,years_1_4,-3.7503194820633063
empirical,years_1_4,1.7363789006703432
empirical,years_1_4,-0.0635694328242904
empirical,years_1_4,0.0
empirical,years_1_4,8.063672512983302
empirical,years_1_4,-0.2841821419394712
empirical,years_1_4,-4.775355129570662
empirical,years_1_4,-2.0317148221611325
empirical,years_1_4,3.7503194820633063
empirical,years_1_4,-0.1428694271996113
empirical,years_1_4,-0.1346922535230086
empirical,years_1_4,2.117645581083474
empirical,years_1_4,6.009213707561056
empirical,years_1_4,-8.12685928864453
empirical,years_1_4,3.7503194820633063
empirical,years_1_4,-0.1636133171498466
empirical,years_1_4,5.677642822285402
empirical,years_1_4,7.904047798681631
empirical,years_1_4,-14.002331849145255
empirical,years_1_4,-2.254503514261523
empirical,years_1_4,-0.2857388543992227
empirical,years_1_4,-7.21490010972739
empirical,years_1_4,6.691237871384211
empirical,years_1_4,-1.310859364924254
empirical,years_1_4,8.318457466305277
empirical,years_1_4,0.8691928926907
empirical,years_1_4,-5.926165717053692
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,2.209297097449406
empirical,years_1_4,-2.209297097449406
empirical,years_1_4,-6.811194325080083
empirical,years_1_4,-2.203576340005815
