source,aggregation,theoretical,observed
empirical,year_20,-0.5033388913842755,-0.5102044860242693
empirical,year_20,-0.4984730144398081,-0.5102044860242693
empirical,year_20,-0.4936189112384602,-0.49323800619480473
empirical,year_20,-0.4887764111146695,-0.49323800619480473
empirical,year_20,-0.48394534571097086,-0.49323800619480473
empirical,year_20,-0.4791255489260723,-0.4775891605449555
empirical,year_20,-0.47431685686425806,-0.4775891605449555
empirical,year_20,-0.4695191077860732,-0.4775891605449555
empirical,year_20,-0.4647321420602515,-0.4775891605449555
empirical,year_20,-0.4599558021168445,-0.4775891605449555
empirical,year_20,-0.4551899324015168,-0.4775891605449555
empirical,year_20,-0.4504343793309682,-0.4775891605449555
empirical,year_20,-0.44568899124944844,-0.44446925754220723
empirical,year_20,-0.4409536183863312,-0.44446925754220723
empirical,year_20,-0.436228112814713,-0.44446925754220723
empirical,year_20,-0.43151232841100684,-0.44446925754220723
empirical,year_20,-0.4268061208154982,-0.44446925754220723
empirical,year_20,-0.4221093473938352,-0.44446925754220723
empirical,year_20,-0.4174218671994252,-0.44446925754220723
empirical,year_20,-0.41274354093670673,-0.44446925754220723
empirical,year_20,-0.40807423092527456,-0.4109276090368125
empirical,year_20,-0.4034138010648291,-0.4108283183348773
empirical,year_20,-0.39876211680092666,-0.4108283183348773
empirical,year_20,-0.3941190450915059,-0.4108283183348773
empirical,year_20,-0.3894844543741681,-0.4108283183348773
empirical,year_20,-0.3848582145341874,-0.4108283183348773
empirical,year_20,-0.38024019687323135,-0.37664903935088134
empirical,year_20,-0.3756302740787688,-0.37664903935088134
empirical,year_20,-0.3710283201941456,-0.37664903935088134
empirical,year_20,-0.366434210589309,-0.37664903935088134
empirical,year_20,-0.36184782193216053,-0.37664903935088134
empirical,year_20,-0.35726903216052036,-0.37664903935088134
empirical,year_20,-0.3526977204546841,-0.36852801596877466
empirical,year_20,-0.348133767210555,-0.3419132117964351
empirical,year_20,-0.34357705401333594,-0.3419132117964351
empirical,year_20,-0.3390274636117636,-0.3419132117964351
empirical,year_20,-0.3344848798928693,-0.3252506926864896
empirical,year_20,-0.3299491878572522,-0.3252506926864896
empirical,year_20,-0.3254202735948497,-0.3066016557376545
empirical,year_20,-0.3208980242611897,-0.3066016557376545
empirical,year_20,-0.3163823280541129,-0.2810563957280916
empirical,year_20,-0.31187307419094945,-0.2810563957280916
empirical,year_20,-0.30737015288613856,-0.2810563957280916
empirical,year_20,-0.30287345532927795,-0.2810563957280916
empirical,year_20,-0.29838287366359023,-0.2706941479531049
empirical,year_20,-0.29389830096479497,-0.2706941479531049
empirical,year_20,-0.2894196312203746,-0.2706941479531049
empirical,year_20,-0.28494675930922303,-0.2706941479531049
empirical,year_20,-0.280479580981666,-0.2706941479531049
empirical,year_20,-0.2760179928398417,-0.2359030714758628
empirical,year_20,-0.2715618923184337,-0.23416934282750992
empirical,year_20,-0.26711117766574294,-0.23416934282750992
empirical,year_20,-0.26266574792509145,-0.23416934282750992
empirical,year_20,-0.2582255029165476,-0.23416934282750992
empirical,year_20,-0.2537903432189627,-0.23416934282750992
empirical,year_20,-0.24936017015231193,-0.19700468545378536
empirical,year_20,-0.244934885760329,-0.19700468545378536
empirical,year_20,-0.2405143927934263,-0.19700468545378536
empirical,year_20,-0.23609859469189412,-0.19700468545378536
empirical,year_20,-0.23168739556936813,-0.18974557288159205
empirical,year_20,-0.22728070019655902,-0.18974557288159205
empirical,year_20,-0.222878413985236,-0.1896547077425916
empirical,year_20,-0.21848044297245714,-0.1896547077425916
empirical,year_20,-0.21408669380503867,-0.1591763159914094
empirical,year_20,-0.20969707372425675,-0.15703938226327782
empirical,year_20,-0.20531149055077355,-0.15703938226327782
empirical,year_20,-0.20092985266978336,-0.15703938226327782
empirical,year_20,-0.19655206901636904,-0.15703938226327782
empirical,year_20,-0.19217804906106456,-0.15703938226327782
empirical,year_20,-0.18780770279561645,-0.15703938226327782
empirical,year_20,-0.18344094071893824,-0.14253533884441352
empirical,year_20,-0.17907767382325174,-0.14253533884441352
empirical,year_20,-0.17471781358040955,-0.14253533884441352
empirical,year_20,-0.1703612719283919,-0.14253533884441352
empirical,year_20,-0.16600796125797493,-0.12391947926052942
empirical,year_20,-0.16165779439956135,-0.12391947926052942
empirical,year_20,-0.1573106846101707,-0.12391947926052942
empirical,year_20,-0.15296654556058278,-0.12391947926052942
empirical,year_20,-0.1486252913226295,-0.09027854005319964
empirical,year_20,-0.14428683635662978,-0.09027854005319964
empirical,year_20,-0.13995109549896287,-0.09027854005319964
empirical,year_20,-0.13561798394977492,-0.09027854005319964
empirical,year_20,-0.13128741726081347,-0.09027854005319964
empirical,year_20,-0.1269593113233873,-0.09027854005319964
empirical,year_20,-0.12263358235644398,-0.09027854005319964
empirical,year_20,-0.11831014689476291,-0.08142583281287662
