source,career_age,n,frac_zero,mean_prod,median_prod,sd_prod,mean_log_prod,var_log_prod,mean_log_prod_pos,var_log_prod_pos,q25_prod,q50_prod,q75_prod,q90_prod,q95_prod
empirical,15,1351,0.16580310880829016,5.8518827488704295,3.81361623374017,6.460326182995091,1.3130287140910377,1.310202824285892,1.7157871939853984,0.5916226450306291,1.4025962619724166,3.81361623374017,8.12685928864453,13.891031205362744,18.429261483752015
empirical,16,1252,0.17252396166134185,5.951174528735456,4.066593372107327,6.641677348693157,1.3230160271969793,1.3373532740888077,1.7475865268650101,0.5706025763375158,1.5020676207365846,4.066593372107327,8.109582548490817,13.62672317606032,18.50157393381293
empirical,17,1158,0.17271157167530224,6.006146914366165,4.20778878591725,6.462479124757807,1.3382404793132563,1.3469231965133759,1.7665474453238452,0.5651446627820508,1.5020676207365846,4.20778878591725,8.722901342606107,14.003082667878896,18.311261212712257
empirical,18,1078,0.20500927643784786,5.765040534171146,4.063429644322265,6.534937254168172,1.2552645203370643,1.4465091135305186,1.762923545092503,0.5613941878181867,1.2315514575691924,4.063429644322265,8.09378585457551,13.5658569996413,18.39393256763143
empirical,19,1011,0.18595450049455983,5.91421101619274,3.694654372707577,7.03093589339645,1.2793650913098655,1.3943676666541844,1.7345660829103733,0.5976247744987011,1.4025962619724166,3.694654372707577,7.905728136928076,14.441219492094955,19.63143784423879
empirical,20,940,0.1819148936170213,5.8270966037981395,3.7503194820633063,6.761222468257167,1.2693585109373051,1.383967652958064,1.710246854496896,0.6221898251502563,1.312838135644996,3.7503194820633063,7.779490371043831,14.514610523369946,19.71163092013924
simulated,0,10000,0.0,4.270700868559327,2.9974564058962736,4.2812846429211815,1.1935822831352372,0.786021215905133,1.1935822831352372,0.786021215905133,1.2300091153516184,2.9974564058962736,5.894053958006528,9.69311396428802,12.583953774062662
simulated,1,10000,0.0,4.9689392726184165,3.805512185574858,4.361680668913108,1.3837374463931076,0.690780863123318,1.3837374463931076,0.690780863123318,1.776732071778543,3.805512185574858,6.873025170585807,10.822630520371264,13.771918477017593
simulated,2,10000,0.0,6.541052077619304,5.128103059521102,5.494939476221319,1.6323351947703792,0.7302297371642222,1.6323351947703792,0.7302297371642222,2.4694746530091853,5.128103059521102,9.1104800408173,13.839802939330003,17.44483891158957
simulated,3,10000,0.0,7.423934035057333,6.005869589203575,6.021133249547651,1.7548861420777744,0.7379239213641469,1.7548861420777744,0.7379239213641469,2.926405788652041,6.005869589203575,10.351834885719754,15.403551279930404,19.103077198502497
simulated,4,10000,0.0,8.041995223735016,6.646688427049979,6.283751904776997,1.8423354681431499,0.7170065395419517,1.8423354681431499,0.7170065395419517,3.2902323894469747,6.646688427049979,11.226436376024774,16.661856274970713,20.18252200185723
simulated,5,10000,0.0,8.44517931279309,7.04638983327727,6.504759937159765,1.8955934757168238,0.7018184169762023,1.8955934757168238,0.7018184169762023,3.552725951184865,7.04638983327727,11.704604293354942,17.167877986288893,20.98022060026749
simulated,6,10000,0.0,7.7204324656259065,6.427500665151842,5.970007381897751,1.8143926243069388,0.6885737338807116,1.8143926243069388,0.6885737338807116,3.2335483819198974,6.427500665151842,10.64395737176422,15.828840726717443,19.030671972976688
simulated,7,10000,0.0,7.502678292614204,6.222640978154171,5.799242252160993,1.7899862950523027,0.6788288822138523,1.7899862950523027,0.6788288822138523,3.143337630674756,6.222640978154171,10.34458575155896,15.480931087142508,18.6999593649231
simulated,8,10000,0.0,7.268905142285755,5.967703305770199,5.6417330248284365,1.7570977830714598,0.6876649337851303,1.7570977830714598,0.6876649337851303,3.0078863919408327,5.967703305770199,10.184646872527836,14.859831037857257,18.164251045046935
simulated,9,10000,0.0,7.265599746282416,6.082973829203702,5.615598456187604,1.7584783967707263,0.6867354939595482,1.7584783967707263,0.6867354939595482,3.0711230454003333,6.082973829203702,10.084577136415541,14.773209451467833,17.995868905730628
simulated,10,10000,0.0,7.219172450992109,5.932735184147583,5.598379951134492,1.7545297029295361,0.6773501733662919,1.7545297029295361,0.6773501733662919,3.0425937252816464,5.932735184147583,9.960088592411594,14.687643886471704,18.13188953804554
simulated,11,10000,0.0,7.108838499210635,5.842550826887946,5.640281571980018,1.7324586926413263,0.6901725153452949,1.7324586926413263,0.6901725153452949,2.908904831374339,5.842550826887946,9.838199709102451,14.60208483855359,18.070576264156713
simulated,12,10000,0.0,6.6940040300136925,5.50498379340679,5.1845149963156825,1.6882327586371335,0.6625207061779407,1.6882327586371335,0.6625207061779407,2.8200405080033484,5.50498379340679,9.343313286189982,13.667816268605772,16.66307076870873
simulated,13,10000,0.0,6.486512595195091,5.331717851819203,5.001738525865632,1.6653238959566494,0.6423410490195915,1.6653238959566494,0.6423410490195915,2.7071609572345032,5.331717851819203,9.014542957524984,13.182840082401116,16.07365220070867
simulated,14,10000,0.0,6.318257421978782,5.218084508554508,4.8615587669021645,1.638480249366934,0.6527213581185528,1.638480249366934,0.6527213581185528,2.6833691887560382,5.218084508554508,8.77605428202592,12.87284052508819,15.976121891748551
simulated,15,10000,0.0,6.234287074351731,5.114304381736402,4.8223593008003816,1.6285548089059245,0.6425015319906305,1.6285548089059245,0.6425015319906305,2.671589311957381,5.114304381736402,8.662987737364247,12.781559793750002,15.685214549126018
simulated,16,10000,0.0,6.190317625861406,5.099003150370786,4.841613802295271,1.6197445880315529,0.6436178331946104,1.6197445880315529,0.6436178331946104,2.6019720604650254,5.099003150370786,8.59101412659637,12.750914743338708,15.4847364407475
simulated,17,10000,0.0,6.101114187562465,5.099343616885143,4.7034368123619865,1.6098759536061262,0.6399188163258783,1.6098759536061262,0.6399188163258783,2.5700189730623233,5.099343616885143,8.456955146688216,12.3920631179165,15.248478802425744
simulated,18,10000,0.0,6.128426658698387,5.0245141064591525,4.761298411186831,1.6060366116924152,0.6601685460194596,1.6060366116924152,0.6601685460194596,2.528350839119263,5.0245141064591525,8.58302573363081,12.627650393423812,15.422060453353609
simulated,19,10000,0.0,6.092146237917245,4.989779276983355,4.730079324104977,1.6054009411405026,0.6450582070134886,1.6054009411405026,0.6450582070134886,2.5811167924076632,4.989779276983355,8.491763864482188,12.496707288319982,15.305194394799411
simulated,20,10000,0.0,6.117763305675685,5.024234934486227,4.751578548109924,1.607646013691157,0.6521749837062731,1.607646013691157,0.6521749837062731,2.5423190151268438,5.024234934486227,8.525347404319628,12.467757503675097,15.19426842715796
