source,value
simulated,12
simulated,12
simulated,3
simulated,10
simulated,20
simulated,3
simulated,18
simulated,15
simulated,4
simulated,5
simulated,6
simulated,16
simulated,19
simulated,11
simulated,13
simulated,15
simulated,19
simulated,2
simulated,16
simulated,15
simulated,11
simulated,6
simulated,8
simulated,7
simulated,11
simulated,10
simulated,6
simulated,16
simulated,20
simulated,13
simulated,15
simulated,2
simulated,8
simulated,19
simulated,14
simulated,9
simulated,17
simulated,9
simulated,10
simulated,15
simulated,2
simulated,12
simulated,4
simulated,9
simulated,16
simulated,2
simulated,8
simulated,11
simulated,20
simulated,7
simulated,2
simulated,0
simulated,7
simulated,10
simulated,11
simulated,4
simulated,10
simulated,5
simulated,6
simulated,13
simulated,17
simulated,5
simulated,9
simulated,9
simulated,6
simulated,9
simulated,10
simulated,2
simulated,2
simulated,10
simulated,2
simulated,5
simulated,7
simulated,9
simulated,17
simulated,5
simulated,15
simulated,8
simulated,0
simulated,17
simulated,6
simulated,17
simulated,17
simulated,10
simulated,11
simulated,3
simulated,10
simulated,2
simulated,14
simulated,12
simulated,4
simulated,14
simulated,10
simulated,17
simulated,4
simulated,6
simulated,0
simulated,2
simulated,5
simulated,15
simulated,9
simulated,3
simulated,7
simulated,7
simulated,8
simulated,12
simulated,9
simulated,6
simulated,6
simulated,9
simulated,4
simulated,5
simulated,3
simulated,17
