source,start_year,end_year,start_decile,end_decile,count,probability
empirical,0,20,6,8,8,0.11764705882352941
empirical,0,20,6,9,8,0.11764705882352941
empirical,0,20,6,10,4,0.058823529411764705
empirical,0,20,7,1,5,0.07352941176470588
empirical,0,20,7,2,6,0.08823529411764706
empirical,0,20,7,3,2,0.029411764705882353
empirical,0,20,7,4,7,0.10294117647058823
empirical,0,20,7,5,7,0.10294117647058823
empirical,0,20,7,6,3,0.04411764705882353
empirical,0,20,7,7,8,0.11764705882352941
empirical,0,20,7,8,10,0.14705882352941177
empirical,0,20,7,9,8,0.11764705882352941
empirical,0,20,7,10,12,0.17647058823529413
empirical,0,20,8,1,7,0.10294117647058823
empirical,0,20,8,2,8,0.11764705882352941
empirical,0,20,8,3,6,0.08823529411764706
empirical,0,20,8,4,6,0.08823529411764706
empirical,0,20,8,5,6,0.08823529411764706
empirical,0,20,8,6,2,0.029411764705882353
empirical,0,20,8,7,8,0.11764705882352941
empirical,0,20,8,8,4,0.058823529411764705
empirical,0,20,8,9,12,0.17647058823529413
empirical,0,20,8,10,9,0.1323529411764706
empirical,0,20,9,1,6,0.08823529411764706
empirical,0,20,9,2,6,0.08823529411764706
empirical,0,20,9,3,6,0.08823529411764706
empirical,0,20,9,4,2,0.029411764705882353
empirical,0,20,9,5,5,0.07352941176470588
empirical,0,20,9,6,12,0.17647058823529413
empirical,0,20,9,7,5,0.07352941176470588
empirical,0,20,9,8,9,0.1323529411764706
empirical,0,20,9,9,9,0.1323529411764706
empirical,0,20,9,10,8,0.11764705882352941
empirical,0,20,10,1,3,0.043478260869565216
empirical,0,20,10,2,4,0.057971014492753624
empirical,0,20,10,3,2,0.028985507246376812
empirical,0,20,10,4,8,0.11594202898550725
empirical,0,20,10,5,12,0.17391304347826086
empirical,0,20,10,6,7,0.10144927536231885
empirical,0,20,10,7,7,0.10144927536231885
empirical,0,20,10,8,6,0.08695652173913043
empirical,0,20,10,9,9,0.13043478260869565
empirical,0,20,10,10,11,0.15942028985507245
empirical,10,15,1,1,18,0.2647058823529412
empirical,10,15,1,2,13,0.19117647058823528
empirical,10,15,1,3,10,0.14705882352941177
empirical,10,15,1,4,11,0.16176470588235295
empirical,10,15,1,5,5,0.07352941176470588
empirical,10,15,1,6,4,0.058823529411764705
empirical,10,15,1,7,3,0.04411764705882353
empirical,10,15,1,8,2,0.029411764705882353
empirical,10,15,1,9,1,0.014705882352941176
empirical,10,15,1,10,1,0.014705882352941176
empirical,10,15,2,1,13,0.19117647058823528
empirical,10,15,2,2,18,0.2647058823529412
empirical,10,15,2,3,9,0.1323529411764706
empirical,10,15,2,4,5,0.07352941176470588
empirical,10,15,2,5,2,0.029411764705882353
empirical,10,15,2,6,9,0.1323529411764706
empirical,10,15,2,7,6,0.08823529411764706
empirical,10,15,2,8,4,0.058823529411764705
empirical,10,15,2,9,2,0.029411764705882353
empirical,10,15,2,10,0,0.0
empirical,10,15,3,1,10,0.14705882352941177
empirical,10,15,3,2,9,0.1323529411764706
empirical,10,15,3,3,12,0.17647058823529413
empirical,10,15,3,4,9,0.1323529411764706
empirical,10,15,3,5,8,0.11764705882352941
empirical,10,15,3,6,5,0.07352941176470588
empirical,10,15,3,7,4,0.058823529411764705
empirical,10,15,3,8,4,0.058823529411764705
empirical,10,15,3,9,4,0.058823529411764705
empirical,10,15,3,10,3,0.04411764705882353
empirical,10,15,4,1,13,0.19117647058823528
empirical,10,15,4,2,9,0.1323529411764706
empirical,10,15,4,3,4,0.058823529411764705
empirical,10,15,4,4,7,0.10294117647058823
empirical,10,15,4,5,11,0.16176470588235295
empirical,10,15,4,6,9,0.1323529411764706
empirical,10,15,4,7,5,0.07352941176470588
empirical,10,15,4,8,6,0.08823529411764706
empirical,10,15,4,9,3,0.04411764705882353
empirical,10,15,4,10,1,0.014705882352941176
empirical,10,15,5,1,6,0.08823529411764706
empirical,10,15,5,2,7,0.10294117647058823
empirical,10,15,5,3,4,0.058823529411764705
empirical,10,15,5,4,10,0.14705882352941177
empirical,10,15,5,5,6,0.08823529411764706
empirical,10,15,5,6,11,0.16176470588235295
empirical,10,15,5,7,12,0.17647058823529413
empirical,10,15,5,8,3,0.04411764705882353
empirical,10,15,5,9,5,0.07352941176470588
empirical,10,15,5,10,4,0.058823529411764705
empirical,10,15,6,1,3,0.04411764705882353
empirical,10,15,6,2,3,0.04411764705882353
empirical,10,15,6,3,10,0.14705882352941177
empirical,10,15,6,4,10,0.14705882352941177
empirical,10,15,6,5,7,0.10294117647058823
empirical,10,15,6,6,6,0.08823529411764706
empirical,10,15,6,7,8,0.11764705882352941
empirical,10,15,6,8,8,0.11764705882352941
