source,aggregation,value
simulated,year_20,7.947830715185245
simulated,year_20,8.742452765198653
simulated,year_20,15.292427267546076
simulated,year_20,3.990362802678141
simulated,year_20,1.455139120802667
simulated,year_20,8.1547103761885
simulated,year_20,10.615567403312369
simulated,year_20,10.00752170101239
simulated,year_20,6.054728854198518
simulated,year_20,5.897905953019823
simulated,year_20,8.040104915908305
simulated,year_20,9.015336673853541
simulated,year_20,7.615863911792816
simulated,year_20,3.4013233691412412
simulated,year_20,6.033031418882449
simulated,year_20,13.90217946422006
simulated,year_20,11.337721372351073
simulated,year_20,13.199627690292285
simulated,year_20,2.350743870411494
simulated,year_20,4.473695235897159
simulated,year_20,1.595863845151138
simulated,year_20,0.23462711666142066
simulated,year_20,7.564434856841052
simulated,year_20,1.8982223906152182
simulated,year_20,2.0632458001452934
simulated,year_20,2.428641648812096
simulated,year_20,3.930021176898904
simulated,year_20,23.208743450335785
simulated,year_20,3.7901609215960006
simulated,year_20,1.8727435994405672
simulated,year_20,5.044444902708715
simulated,year_20,4.613523932955027
simulated,year_20,7.394751171774119
simulated,year_20,10.660606631532312
simulated,year_20,3.981010598818279
simulated,year_20,4.17673987366743
simulated,year_20,1.266512802839839
simulated,year_20,2.9696225451846088
simulated,year_20,5.506819169725194
simulated,year_20,4.998040915718206
simulated,year_20,11.958088304905376
simulated,year_20,3.4881605282579
simulated,year_20,4.8031580888398455
simulated,year_20,15.534863516883027
simulated,year_20,13.838742302422512
simulated,year_20,9.108704208048263
simulated,year_20,0.01774679758746489
simulated,year_20,0.05561102998061762
simulated,year_20,1.9271887565750736
simulated,year_20,11.210590395690826
simulated,year_20,8.680753207785157
simulated,year_20,8.684364620121785
simulated,year_20,22.89981715514256
simulated,year_20,13.945055276616277
simulated,year_20,5.4981058236116445
simulated,year_20,0.18414135939880838
simulated,year_20,2.9725201310810694
simulated,year_20,9.738404459325919
simulated,year_20,6.517785858631218
simulated,year_20,5.261500015140616
simulated,year_20,4.228909733165252
simulated,year_20,13.085846132126147
simulated,year_20,6.77164561924305
simulated,year_20,9.061447942620706
simulated,year_20,3.4480448953023304
simulated,year_20,2.827658556999712
simulated,year_20,6.074948955816244
simulated,year_20,4.629206463024312
simulated,year_20,15.720888807495342
simulated,year_20,7.783049698929773
simulated,year_20,0.8557512107689176
simulated,year_20,2.770545218232944
simulated,year_20,1.2738194089176367
simulated,year_20,7.288045783620991
simulated,year_20,3.843701211648109
simulated,year_20,7.520915743747035
simulated,year_20,12.524506993254263
simulated,year_20,0.7766059567888253
simulated,year_20,11.193691144260143
simulated,year_20,9.781145681319687
simulated,year_20,1.4888512325240946
simulated,year_20,6.986034768057944
simulated,year_20,10.518316359943546
simulated,year_20,2.7497626906401775
simulated,year_20,14.356631122527489
simulated,year_20,3.898553379525817
simulated,year_20,18.962590308257724
simulated,year_20,3.18228782615667
simulated,year_20,11.885489591159875
simulated,year_20,3.474685489141569
simulated,year_20,17.780217558372257
simulated,year_20,3.08624222424276
simulated,year_20,4.980344594002137
simulated,year_20,3.2716906984109726
simulated,year_20,12.236537287059601
simulated,year_20,1.5050938046745583
simulated,year_20,7.855951288612748
simulated,year_20,2.7459804323690657
simulated,year_20,3.39270579758501
simulated,year_20,3.1233828642946913
simulated,year_20,1.3501223480993156
simulated,year_20,7.7317633386477596
simulated,year_20,10.882646362809966
simulated,year_20,10.85729807318506
simulated,year_20,11.78866331628005
simulated,year_20,1.4745835866441945
simulated,year_20,9.80110923526712
simulated,year_20,5.857029725562104
simulated,year_20,3.0720639165350057
simulated,year_20,12.101924051498214
simulated,year_20,2.887781062486253
simulated,year_20,5.803080815695708
simulated,year_20,8.485222148841588
simulated,year_20,21.762689632355233
simulated,year_20,6.813544798453295
simulated,year_20,8.943620459946144
simulated,year_20,1.8903781719825261
simulated,year_20,1.0796592672985375
simulated,year_20,12.618022900769647
simulated,year_20,8.019245895975867
simulated,year_20,3.228515250618882
simulated,year_20,19.490647514187675
simulated,year_20,19.741330417819714
simulated,year_20,1.8197928318203689
simulated,year_20,1.707538459791102
simulated,year_20,0.31685199211499837
simulated,year_20,2.0025824752056782
simulated,year_20,3.313681556061509
simulated,year_20,0.20574468932636614
simulated,year_20,9.089090609437953
simulated,year_20,15.764942784182418
simulated,year_20,4.423178174146335
simulated,year_20,6.565395679112083
simulated,year_20,4.393726316803638
simulated,year_20,0.8424760819781455
simulated,year_20,3.7926768407269495
simulated,year_20,1.8356684085498842
simulated,year_20,11.781026848038776
simulated,year_20,7.4899657737719485
simulated,year_20,1.492252142277017
simulated,year_20,4.771083332501751
simulated,year_20,0.6092740574855753
simulated,year_20,1.548272036745134
simulated,year_20,2.5519321260097176
simulated,year_20,2.5253103185495758
simulated,year_20,13.114816353061016
simulated,year_20,3.1063151144520336
