source,transition_year,destination_year,n,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta,q25_log_delta,q50_log_delta,q75_log_delta,q90_log_delta,q95_log_delta
simulated,0,1,10000,0.19629062010620565,0.18281997409818362,0.17886993996867906,1.1708595500598225,-0.5500995996043155,0.18281997409818362,0.9328636000268037,1.6105377755599002,1.9785771367057947
simulated,1,2,10000,0.09215032649362861,0.08894844558110546,0.007302004739564882,1.248353398132448,-0.6613880460160667,0.08894844558110546,0.8437327602772187,1.5440001393929297,1.922900831664225
simulated,2,3,10000,0.028170334521721158,0.021146062479246747,0.010110718224990656,1.279911875817639,-0.7433794891471492,0.021146062479246747,0.7990281695788884,1.5020717046507108,1.8995206737275843
simulated,3,4,10000,0.012762258500620212,0.004011012031241601,-0.04236952826792928,1.2849971005671683,-0.7433131946263023,0.004011012031241601,0.764263038160315,1.4554548968894165,1.8622231132183495
simulated,4,5,10000,0.026460087418119213,0.02911116510101386,0.20037887745406868,1.0745444366115184,-0.681082340900951,0.02911116510101386,0.7337827996974551,1.3589983962346945,1.725829055934244
simulated,5,6,10000,0.03611856882785077,0.030323333611270542,-0.017121835259190865,1.0555781883213153,-0.6688889824600712,0.030323333611270542,0.7389894686951267,1.3549860953135615,1.7312698173938508
simulated,6,7,10000,0.000944134773226107,0.0038449010588351706,0.21021445175492892,1.078495567314508,-0.7176675088264024,0.0038449010588351706,0.7007881070364478,1.3430116235250331,1.7132049799803144
simulated,7,8,10000,-0.07756155270127497,-0.07959544896808035,-0.04836422733762369,0.9608269853953123,-0.7191865623295128,-0.07959544896808035,0.5693623056304493,1.1844681921052371,1.5625231737586658
simulated,8,9,10000,-0.05889010465266199,-0.04982026190721389,-0.06038692362464659,0.9800958114749102,-0.7210107998308491,-0.04982026190721389,0.607722048426418,1.2011293748494165,1.5667880234627611
simulated,9,10,10000,-0.050946238219437986,-0.040936216852690166,0.016550622238697077,0.9766865500084605,-0.7137473687887664,-0.040936216852690166,0.6086456934138431,1.206384478688698,1.5634492911132785
simulated,10,11,10000,-0.03635803052017543,-0.012032356730834415,-0.0017424102439043132,0.9752687700443865,-0.7018782541088422,-0.012032356730834415,0.620907172105835,1.2270943451320644,1.5693675389671893
simulated,11,12,10000,-0.006606171499795043,0.0,0.02573059690539048,0.9589210320738859,-0.653296942740263,0.0,0.6644765289163825,1.2634531804705496,1.5822957951271661
simulated,12,13,10000,-0.011833237361431,0.0,0.0296957631810999,0.9848257655792737,-0.6815898557625872,0.0,0.6539879756402364,1.2510976844844186,1.609017091428569
simulated,13,14,10000,-0.007017934705694883,0.0,-0.011143598502124208,0.9614455794818374,-0.6615985179107483,0.0,0.6528476373438472,1.246207711803458,1.6008229453700566
simulated,14,15,10000,0.003397988911247806,0.0,-0.00047598775581159103,0.9441345603984879,-0.6452613468778766,0.0,0.6645214381800469,1.2502265419545333,1.5881426536445076
simulated,15,16,10000,0.008203831525176467,0.0,0.03256068322932193,0.9677542291626351,-0.651931303638335,0.0,0.6654461233092696,1.2684845436840373,1.656090965617055
simulated,16,17,10000,-0.008293754513585902,0.0,-0.004612623469242294,0.948439267668114,-0.6695780978050341,0.0,0.6581045789325031,1.2318172200840756,1.5825271265127419
simulated,17,18,10000,-0.01998238179681522,-8.51034396097683e-05,0.00393451033906822,0.9889207147667745,-0.6897435938187395,-8.51034396097683e-05,0.6523021007327922,1.2529536234684355,1.613106125498039
simulated,18,19,10000,0.008761615744657641,0.0,-0.02706806485682045,0.9383422688326863,-0.6416616018242983,0.0,0.6599137794009811,1.258555115005124,1.6101672005891736
simulated,19,20,10000,0.0009481333996552777,0.0041671293482845595,-0.02315924135482228,0.9671813932336667,-0.6539882271687762,0.0041671293482845595,0.6556497836564241,1.2683699552541474,1.6156512816423532
